L1=0000, L2=0000, count=4
L1=0000, L2=0001, count=7
L1=0000, L2=0010, count=10
L1=0000, L2=0011, count=2
L1=0000, L2=0100, count=0
L1=0000, L2=0101, count=1
L1=0000, L2=0110, count=0
L1=0000, L2=0111, count=0
L1=0000, L2=1000, count=14
L1=0000, L2=1001, count=8
L1=0000, L2=1010, count=20
L1=0000, L2=1011, count=1
L1=0000, L2=1100, count=8
L1=0000, L2=1101, count=14
L1=0000, L2=1110, count=1
L1=0000, L2=1111, count=42
L1=0001, L2=0000, count=10
L1=0001, L2=0001, count=5
L1=0001, L2=0010, count=8
L1=0001, L2=0011, count=9
L1=0001, L2=0100, count=0
L1=0001, L2=0101, count=1
L1=0001, L2=0110, count=0
L1=0001, L2=0111, count=0
L1=0001, L2=1000, count=13
L1=0001, L2=1001, count=4
L1=0001, L2=1010, count=16
L1=0001, L2=1011, count=0
L1=0001, L2=1100, count=4
L1=0001, L2=1101, count=12
L1=0001, L2=1110, count=0
L1=0001, L2=1111, count=48
L1=0010, L2=0000, count=0
L1=0010, L2=0001, count=0
L1=0010, L2=0010, count=0
L1=0010, L2=0011, count=0
L1=0010, L2=0100, count=0
L1=0010, L2=0101, count=0
L1=0010, L2=0110, count=0
L1=0010, L2=0111, count=0
L1=0010, L2=1000, count=0
L1=0010, L2=1001, count=1
L1=0010, L2=1010, count=0
L1=0010, L2=1011, count=1
L1=0010, L2=1100, count=1
L1=0010, L2=1101, count=0
L1=0010, L2=1110, count=1
L1=0010, L2=1111, count=0
L1=0011, L2=0000, count=15
L1=0011, L2=0001, count=12
L1=0011, L2=0010, count=17
L1=0011, L2=0011, count=11
L1=0011, L2=0100, count=0
L1=0011, L2=0101, count=0
L1=0011, L2=0110, count=0
L1=0011, L2=0111, count=0
L1=0011, L2=1000, count=25
L1=0011, L2=1001, count=11
L1=0011, L2=1010, count=36
L1=0011, L2=1011, count=0
L1=0011, L2=1100, count=12
L1=0011, L2=1101, count=25
L1=0011, L2=1110, count=0
L1=0011, L2=1111, count=90
L1=0100, L2=0000, count=15
L1=0100, L2=0001, count=9
L1=0100, L2=0010, count=9
L1=0100, L2=0011, count=13
L1=0100, L2=0100, count=1
L1=0100, L2=0101, count=0
L1=0100, L2=0110, count=1
L1=0100, L2=0111, count=0
L1=0100, L2=1000, count=12
L1=0100, L2=1001, count=4
L1=0100, L2=1010, count=16
L1=0100, L2=1011, count=0
L1=0100, L2=1100, count=7
L1=0100, L2=1101, count=20
L1=0100, L2=1110, count=1
L1=0100, L2=1111, count=48
L1=0101, L2=0000, count=5
L1=0101, L2=0001, count=11
L1=0101, L2=0010, count=9
L1=0101, L2=0011, count=2
L1=0101, L2=0100, count=0
L1=0101, L2=0101, count=4
L1=0101, L2=0110, count=0
L1=0101, L2=0111, count=0
L1=0101, L2=1000, count=17
L1=0101, L2=1001, count=8
L1=0101, L2=1010, count=20
L1=0101, L2=1011, count=1
L1=0101, L2=1100, count=11
L1=0101, L2=1101, count=15
L1=0101, L2=1110, count=1
L1=0101, L2=1111, count=42
L1=0110, L2=0000, count=26
L1=0110, L2=0001, count=32
L1=0110, L2=0010, count=32
L1=0110, L2=0011, count=23
L1=0110, L2=0100, count=0
L1=0110, L2=0101, count=0
L1=0110, L2=0110, count=0
L1=0110, L2=0111, count=0
L1=0110, L2=1000, count=60
L1=0110, L2=1001, count=28
L1=0110, L2=1010, count=88
L1=0110, L2=1011, count=0
L1=0110, L2=1100, count=28
L1=0110, L2=1101, count=60
L1=0110, L2=1110, count=0
L1=0110, L2=1111, count=201
L1=0111, L2=0000, count=0
L1=0111, L2=0001, count=4
L1=0111, L2=0010, count=0
L1=0111, L2=0011, count=3
L1=0111, L2=0100, count=0
L1=0111, L2=0101, count=1
L1=0111, L2=0110, count=0
L1=0111, L2=0111, count=0
L1=0111, L2=1000, count=1
L1=0111, L2=1001, count=1
L1=0111, L2=1010, count=0
L1=0111, L2=1011, count=1
L1=0111, L2=1100, count=2
L1=0111, L2=1101, count=2
L1=0111, L2=1110, count=5
L1=0111, L2=1111, count=0
L1=1000, L2=0000, count=7
L1=1000, L2=0001, count=13
L1=1000, L2=0010, count=6
L1=1000, L2=0011, count=3
L1=1000, L2=0100, count=0
L1=1000, L2=0101, count=4
L1=1000, L2=0110, count=0
L1=1000, L2=0111, count=0
L1=1000, L2=1000, count=13
L1=1000, L2=1001, count=4
L1=1000, L2=1010, count=13
L1=1000, L2=1011, count=0
L1=1000, L2=1100, count=9
L1=1000, L2=1101, count=16
L1=1000, L2=1110, count=2
L1=1000, L2=1111, count=28
